Timestamp,"Eligibility:
Did you take the JAMB Unified Tertiary Matriculation Examination (UTME) between 2020 and 2025 ?",1. Gender:,2. Age (at the time of your last JAMB exam):,3. Year(s) you took the JAMB UTME,4. State of Residence (at the time of your last JAMB exam):,5. Which type of school did you attend for your secondary education?,6. What was your highest JAMB UTME score in any of the years you took the exam? ,"7. How did you prepare for the JAMB exam?
",8. What were your biggest challenges during preparation?,"9. On a scale of 1–5, how confident did you feel before the exam?",10. What subjects did you find most difficult to prepare for and why?,11. Did you find it difficult locating your CBT (Computer-Based Test) center?,12. Were you familiar with the CBT (Computer-Based Test) format before the exam? ,13. Did you face any of the following challenges on exam day?,14. How would you rate the exam center's facilities?,"15. If you encountered technical problems, describe them",16. What could have made your preparation easier?,17. What advice would you give to future JAMB candidates based on your experience?,18. Any additional comments?
6/4/2025 21:29:17,No,,,,,,,,,,,,,,,,,,
6/4/2025 23:04:07,Yes,Female,16 - 17,2022.0,Kwara,Private,205,"Used online platforms (e.g., YouTube, CBT apps)",No access to coaching centers,3.0,"Chemistry, because I don't have a good foundation for it",Not at all difficult,Yes,None,4.0,No technical problems ,Study group and good foundation in the core subjects ,Read smart not intelligent and be very prayerful ,No
6/4/2025 23:43:09,Yes,Female,18 - 19,2022.0,Kwara,Private,362,"Attended coaching centers, Used online platforms (e.g., YouTube, CBT apps), Group study, Private tutoring","Poor time management, ",4.0,Physics ,Not at all difficult,No,"Technical issues (e.g., computer malfunction, login problems)",2.0,Computer malfunction ,,Prepare very well,Read oo
6/5/2025 0:53:54,Yes,Male,22 years or Older,2022.0,Kwara,Private,210,Studied independently,"No access to coaching centers, Lack of motivation, Poor time management",3.0,Physics,Not at all difficult,Yes,"Delay in starting the exam, Poor ventilation or overcrowding, Stress or panic",3.0,None,Having friends with similar goal around me ,They must start preparation early ,No
6/5/2025 10:24:42,Yes,Male,16 - 17,2021.0,Kwara,Private,212,Studied independently,"Lack of motivation, Poor time management, ",3.0,Physics ,Slightly difficult,No,"Delay in starting the exam, Poor ventilation or overcrowding, Stress or panic",2.0,Not at all ,Motivation ,Don't be moved by what you've heard ,None 
6/5/2025 15:01:20,Yes,Male,16 - 17,2025.0,Edo,Private,Ive only wrote once,"Attended coaching centers, Studied independently, Used online platforms (e.g., YouTube, CBT apps)","Lack of study materials, Lack of motivation",3.0,"Physics,because its more of calculations ",Not at all difficult,Maybe,"Technical issues (e.g., computer malfunction, login problems), Poor ventilation or overcrowding, Stress or panic",3.0,"When i was writing my examination all of a sudden my computer went of,and it caused me to fail my chemistry.Because when everyone was done and were asked to submit my computer just turned on so i had to answer the remaining questions randomly which made me get a low score in chemistry that affected my jamb score.  ",A private tutor ,"My advice would be that,they should all work hard study the subject they are good at because jamb questions are anonymouse,you cannot just rely on your past questions,because as i said jamb questions are anonymouse you can never predict what you see.Sp the should study hard to make sure they independently answer all questions correctly.",Jamb should make efforts in giving out correct questions so that atleast someday a person car atleast hit 400 or even 399
6/5/2025 17:24:57,No,,,,,,,,,,,,,,,,,,
6/5/2025 18:42:53,Yes,Male,16 - 17,2025.0,Lagos,Private,273,Studied independently,No access to coaching centers,4.0,PHYSICS  because I'm not too conversant with the topics,Not at all difficult,Yes,None,5.0,I encountered none,Attending Coaching Classes,Prepare harder and try to attend Coaching Classes,None
6/5/2025 19:50:38,Yes,Female,16 - 17,2021.0,Niger,Private,270,Attended coaching centers,Poor electricity/internet,3.0,"Physics 
I have always have issue with it right from ss1. I don't know why exactly ",Not at all difficult,Yes,None,3.0,None at all ,If I was serious serious than I was,Just prepare well. Attend good coaching centres with experience tutors. Group study with colleagues. ,No
6/5/2025 22:41:36,Yes,Male,18 - 19,2023.0,Edo,Private,210,"Studied independently, Used online platforms (e.g., YouTube, CBT apps)","Lack of study materials, Poor electricity/internet, Lack of motivation, Poor time management",4.0,"Chemistry 

   I was not really a big fan of chemistry so the fact I had to study for it before JAMB
Felt like a setup for me 😅",Not at all difficult,Yes,"Delay in starting the exam, Poor ventilation or overcrowding",3.0,None that I know about ,"More motivation, less social Media and let's all just agree to 
Ban CHEMISTRY as a course 🌚🤧","Read your Literature booklet ( JAMB Novel ) because English can
Go a long way to boost your score",Namaste 😌
6/6/2025 9:34:30,Yes,Male,16 - 17,2021.0,Imo,Private,228,"Studied independently, Used online platforms (e.g., YouTube, CBT apps)","Lack of study materials, Poor electricity/internet, No access to coaching centers, Financial difficulties, Poor time management",3.0,Literature because materials were unaccessible ,Not at all difficult,Yes,None,4.0,"None, was encountered ",Availability of study materials and proper training for CBT based exams ,,
6/6/2025 9:48:11,Yes,Female,16 - 17,2020.0,Abuja,Public,222,Private tutoring,Lack of study materials,3.0,Physics I found it difficult at that time,Not at all difficult,No,Poor ventilation or overcrowding,5.0,I didn't encounter any problems ,I came earlier ,Always be prepared and go early ,
6/6/2025 10:53:26,Yes,Male,22 years or Older,2025.0,Edo,Private,326,"Attended coaching centers, Studied independently, Used online platforms (e.g., YouTube, CBT apps), Group study",Poor time management,2.0,Preparing for physics was breathtaking knowing that jamb wont provide a good calculator,Not at all difficult,Yes,"Technical issues (e.g., computer malfunction, login problems)",4.0,I encountered question that were not correct. Some other questions lacked correct options.,A knowledge of the fact that a good calculator will be provided at the exam center,Prepare for the best and the worst,Please do well to start your preparations for the exams on time so as to avoid questions without correct answers or wrongly set questions or even questions with multiple answers. 
6/6/2025 11:28:33,Yes,Female,16 - 17,2020.0,Lagos,Private,200,Attended coaching centers,Financial difficulties,4.0,Mathematics ,Slightly difficult,Maybe,Miscommunication by invigilators,3.0,No,If I had financial stability,They should work better on their venue settings.,No
6/6/2025 12:01:38,Yes,Female,22 years or Older,2020.0,Abuja,Public,150,Studied independently,Poor time management,4.0,Maths,Slightly difficult,Yes,"Technical issues (e.g., computer malfunction, login problems)",4.0,Computer of and on,Money,Prepare well and read had  ,Nill
6/6/2025 12:34:16,Yes,Male,22 years or Older,2021.0,Abuja,Public,160,Attended coaching centers,"Lack of study materials, Poor electricity/internet, No access to coaching centers, Poor time management",4.0,Literature in English,Slightly difficult,Yes,None,4.0,"There were no major technical issues during the process. However, at one point there was a brief delay in loading one of the application pages, which was quickly resolved by refreshing the browser. Other than that, the system functioned as expected ",Availability of more coaching centers for jamb candidates would be helpful.,,
6/6/2025 18:14:40,Yes,Female,18 - 19,2025.0,Abuja,Public,225,Attended coaching centers,"Lack of study materials, Poor electricity/internet, Financial difficulties, Poor time management",3.0,Physics and mathematics ,Slightly difficult,Yes,Delay in starting the exam,3.0,None ,Having enough time to study ,,
6/6/2025 18:41:42,Yes,Prefer not to say,16 - 17,2020.0,Nasarawa,Private,221,"Studied independently, Used online platforms (e.g., YouTube, CBT apps), Group study","Poor electricity/internet, Lack of motivation",3.0,"Chemistry, chemical compounds",Slightly difficult,Yes,"Delay in starting the exam, Stress or panic",4.0,Nil,"More motivation, and knowing what I wanted to study ",Prepare properly and give it your best.,No
6/6/2025 20:38:35,Yes,Female,16 - 17,2020.0,Lagos,Private,212,"Studied independently, Used online platforms (e.g., YouTube, CBT apps), Group study","Lack of study materials, Lack of motivation",4.0,Biology,Not at all difficult,No,"Technical issues (e.g., computer malfunction, login problems), Poor ventilation or overcrowding",2.0,The computer was too slow,If they have online practice tests to know how ready one is.,Always be prepared.,No
